iter	Logloss
0	0.6030710123
1	0.5279280184
2	0.4486926866
3	0.3883659839
4	0.3474616779
5	0.3087925699
6	0.2788282168
7	0.2487540911
8	0.2266111125
9	0.2081632104
10	0.1915957805
11	0.1723873921
12	0.1583922201
13	0.1449684468
14	0.1383929507
15	0.131882379
16	0.1277149002
17	0.1241161673
18	0.1179351079
19	0.1146960501
20	0.1123266051
21	0.1091869073
22	0.1071040058
23	0.1032069748
24	0.1016267429
25	0.09886609284
26	0.09686863994
27	0.09594490173
28	0.09419764274
29	0.09271691516
30	0.09164409681
31	0.09058182398
32	0.09020743524
33	0.08934338458
34	0.08902494927
35	0.08859265941
36	0.08826603077
37	0.08780026236
38	0.08750672313
39	0.08708941751
40	0.08691970838
41	0.08643531525
42	0.08607579659
43	0.08590064344
44	0.08562562093
45	0.08540987066
46	0.08509741877
47	0.08481803499
48	0.08455782033
49	0.08437372286
50	0.08416541146
51	0.08401146109
52	0.08388073778
53	0.08362036996
54	0.08349761234
55	0.08340234899
56	0.08326123095
57	0.08313189968
58	0.08296948097
59	0.08286656596
60	0.08275981707
61	0.08268548733
62	0.08256809925
63	0.08247068386
64	0.08239872232
65	0.08228818449
66	0.0822311269
67	0.08213467901
68	0.08205432
69	0.08189368533
70	0.08182609196
71	0.081680341
72	0.08164617222
73	0.08153568827
74	0.0814368473
75	0.08136064001
76	0.08129389185
77	0.08119967594
78	0.08114315996
79	0.08108326489
80	0.0810132213
81	0.08094706618
82	0.08088664275
83	0.08081205304
84	0.08073698747
85	0.0806892669
86	0.08066001676
87	0.08062155878
88	0.08060069171
89	0.08055435395
90	0.08050608386
91	0.08045135803
92	0.08041979333
93	0.08032235927
94	0.0802802045
95	0.08023425144
96	0.08018976835
97	0.08015525888
98	0.08010591745
99	0.08006389727
100	0.08002710053
101	0.07999641549
102	0.07995517174
103	0.07990954622
104	0.0798820918
105	0.07985145899
106	0.07982011306
107	0.07980270688
108	0.07976301872
109	0.07969566613
110	0.07966047568
111	0.07960861386
112	0.07957687772
113	0.07954037741
114	0.07950484009
115	0.07947033318
116	0.07944176172
117	0.07941885693
118	0.07938891385
119	0.07934957414
120	0.07933580142
121	0.07931651291
122	0.07929100581
123	0.07924416465
124	0.07920488175
125	0.07917865952
126	0.07914622163
127	0.07910360062
128	0.07905918313
129	0.07899829743
130	0.07896323617
131	0.07893054993
132	0.0789096062
133	0.07887941347
134	0.07886736973
135	0.07883515355
136	0.07879767582
137	0.07876096642
138	0.07870787639
139	0.07866789378
140	0.07864253928
141	0.07861490596
142	0.07859401465
143	0.07857080338
144	0.07854526595
145	0.07852797526
146	0.07848751011
147	0.07846387626
148	0.07843336442
149	0.07841016701
150	0.07838801082
151	0.07836181655
152	0.07834698309
153	0.07831652209
154	0.07829309922
155	0.07826481938
156	0.07823415378
157	0.07821384853
158	0.07818993441
159	0.07817062694
160	0.07814130108
161	0.078099579
162	0.0780739492
163	0.07805576714
164	0.0780359427
165	0.07801739317
166	0.07798884158
167	0.0779678208
168	0.07794438362
169	0.07790977158
170	0.07787219149
171	0.0778293582
172	0.07780804069
173	0.0777861764
174	0.07776001737
175	0.07773851753
176	0.07771079784
177	0.07769153087
178	0.07766193888
179	0.07763793937
180	0.0776098511
181	0.07760955051
182	0.07759357012
183	0.07758038795
184	0.07755829591
185	0.07752882796
186	0.07751173394
187	0.0774941254
188	0.07747043304
189	0.07745374559
190	0.0774348822
191	0.07739528098
192	0.07736597171
193	0.07734745792
194	0.07732751607
195	0.07729381975
196	0.07727650668
197	0.07723293767
198	0.07721627335
199	0.07718439129
